IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location
140002914,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Thursday,3/12/2015,0:46,NORTHERN,"ARREST, BOOKED",POST ST / FILLMORE ST,-122.4330842,37.78514992,"(37.7851499161537, -122.433084166837)"
140003423,ASSAULT,BATTERY,Thursday,3/13/2015,9:10,NORTHERN,NONE,MCALLISTER ST / LAGUNA ST,-122.4268327,37.77925847,"(37.7792584744352, -122.426832741986)"
140003564,NON-CRIMINAL,FOUND PROPERTY,Thursday,3/14/2015,10:07,RICHMOND,NONE,47TH AV / FULTON ST,-122.5077501,37.771494,"(37.7714939969416, -122.507750131004)"
140005087,WARRANTS,WARRANT ARREST,Thursday,3/15/2015,17:15,MISSION,"ARREST, BOOKED",TREAT AV / 17TH ST,-122.4135917,37.76382223,"(37.7638222259421, -122.413591695561)"
140006154,WARRANTS,WARRANT ARREST,Friday,3/16/2015,0:48,MISSION,"ARREST, BOOKED",MISSION ST / 14TH ST,-122.4199834,37.76827268,"(37.7682726763619, -122.419983447697)"
140006154,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Friday,3/17/2015,0:48,MISSION,"ARREST, BOOKED",MISSION ST / 14TH ST,-122.4199834,37.76827268,"(37.7682726763619, -122.419983447697)"
140007196,LARCENY/THEFT,GRAND THEFT PICKPOCKET,Thursday,3/18/2015,21:30,SOUTHERN,NONE,MARKET ST / 5TH ST,-122.4080683,37.78399168,"(37.7839916768161, -122.408068345148)"
140000112,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Wednesday,3/19/2015,0:45,SOUTHERN,"ARREST, BOOKED",MARKET ST / OFARRELL ST,-122.4045875,37.78673168,"(37.7867316808533, -122.404587539604)"
140000112,OTHER OFFENSES,RESISTING ARREST,Wednesday,3/20/2015,0:45,SOUTHERN,"ARREST, BOOKED",MARKET ST / OFARRELL ST,-122.4045875,37.78673168,"(37.7867316808533, -122.404587539604)"
140000300,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Wednesday,3/21/2015,2:34,SOUTHERN,"ARREST, CITED",HOWARD ST / 2ND ST,-122.3982616,37.78677876,"(37.7867787589097, -122.398261647342)"
140001223,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Wednesday,3/22/2015,10:00,SOUTHERN,NONE,MISSION ST / 5TH ST,-122.406482,37.78273179,"(37.7827317884887, -122.406481972743)"
140001392,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Wednesday,3/23/2015,11:10,TENDERLOIN,PSYCHOPATHIC CASE,MARKET ST / 8TH ST,-122.4147438,37.77871926,"(37.778719262789, -122.414743835382)"
140001637,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Wednesday,3/24/2015,13:49,BAYVIEW,"ARREST, CITED",CESAR CHAVEZ ST / VERMONT ST,-122.402868,37.74947839,"(37.7494783929125, -122.402868034981)"
140001706,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Wednesday,3/25/2015,14:10,TARAVAL,"ARREST, CITED",19TH AV / IRVING ST,-122.4771724,37.76355846,"(37.763558459678, -122.477172370751)"
140001897,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Wednesday,3/26/2015,0:45,NORTHERN,NONE,UNION ST / OCTAVIA ST,-122.4289165,37.7979254,"(37.7979253955735, -122.428916492947)"
140002243,WARRANTS,WARRANT ARREST,Wednesday,3/27/2015,18:49,TENDERLOIN,"ARREST, BOOKED",TURK ST / JONES ST,-122.4124143,37.7830038,"(37.7830037964534, -122.412414263581)"
